vehicle_id,split,image_stem,obj_idx,class_name,L1,L2,L3,xmin,ymin,xmax,ymax,occluded,truncated
train_1001_004,train,1001,4,car_MarutiSuzuki_Swift,car,MarutiSuzuki,Swift,1161,618,1413,856,0,0
train_1003_000,train,1003,0,motorcycle_Honda_Shine,motorcycle,Honda,Shine,268,695,570,1080,0,0
train_1003_001,train,1003,1,car_Toyota_Innova,car,Toyota,Innova,1255,517,1920,1080,0,0
train_1003_002,train,1003,2,car_Hyundai_I10,car,Hyundai,I10,812,569,1127,813,0,0
train_1004_000,train,1004,0,autorickshaw_Bajaj,autorickshaw,Bajaj,Bajaj,85,566,695,1080,0,0
train_1004_001,train,1004,1,autorickshaw_Bajaj,autorickshaw,Bajaj,Bajaj,1300,578,1452,743,0,0
train_1004_002,train,1004,2,motorcycle_Honda_Shine,motorcycle,Honda,Shine,1317,636,1423,805,0,0
train_1004_003,train,1004,3,scooter_Honda_Dio,scooter,Honda,Dio,1111,704,1315,996,0,0
train_1004_004,train,1004,4,motorcycle_Bajaj_Pulsar150,motorcycle,Bajaj,Pulsar150,1544,872,1921,1080,0,0
train_1004_005,train,1004,5,mini-bus_Others,mini-bus,Others,Others,425,500,702,696,0,0
train_1004_006,train,1004,6,motorcycle_Hero_PassionPlus,motorcycle,Hero,PassionPlus,1414,692,1662,971,0,0
train_1004_007,train,1004,7,autorickshaw_Others,autorickshaw,Others,Others,1103,575,1320,784,0,0
train_1004_008,train,1004,8,autorickshaw_Others,autorickshaw,Others,Others,668,569,902,864,0,0
train_1005_000,train,1005,0,car_Hyundai_Eon,car,Hyundai,Eon,315,462,513,658,0,0
train_1005_001,train,1005,1,car_Toyota_Innova,car,Toyota,Innova,844,461,957,560,0,0
train_1005_002,train,1005,2,truck_Others,truck,Others,Others,1,108,397,842,0,0
train_1005_003,train,1005,3,scooter_Hero_Maestro,scooter,Hero,Maestro,942,547,1111,832,0,0
train_1005_004,train,1005,4,car_Toyota_Etios,car,Toyota,Etios,851,478,1029,637,0,0
train_1005_005,train,1005,5,autorickshaw_Others,autorickshaw,Others,Others,1457,465,1920,887,0,0
train_1006_000,train,1006,0,motorcycle_Hero_Splendor,motorcycle,Hero,Splendor,658,650,807,925,0,0
train_1006_001,train,1006,1,autorickshaw_Bajaj,autorickshaw,Bajaj,Bajaj,17,547,630,1078,0,0
train_1006_002,train,1006,2,motorcycle_Hero_HFDeluxe,motorcycle,Hero,HFDeluxe,1644,666,1849,837,0,0
train_1006_003,train,1006,3,autorickshaw_Others,autorickshaw,Others,Others,1004,548,1588,1077,0,0
train_1006_004,train,1006,4,autorickshaw_Others,autorickshaw,Others,Others,1608,542,1783,644,0,0
train_1006_005,train,1006,5,autorickshaw_Others,autorickshaw,Others,Others,862,536,1120,915,0,0
train_1007_000,train,1007,0,autorickshaw_Piaggio,autorickshaw,Piaggio,Piaggio,12,457,256,615,0,0
train_1007_001,train,1007,1,truck_AshokLeyland,truck,AshokLeyland,AshokLeyland,1025,410,1249,669,0,0
train_1008_000,train,1008,0,bus,bus,bus,bus,958,247,1280,411,0,0
train_1008_001,train,1008,1,car_Toyota_Etios,car,Toyota,Etios,500,356,689,518,0,0
train_1008_002,train,1008,2,car_Volkswagen_Polo,car,Volkswagen,Polo,719,350,898,490,0,0
train_1008_003,train,1008,3,car_MarutiSuzuki_Dzire,car,MarutiSuzuki,Dzire,271,353,510,493,0,0
train_1008_004,train,1008,4,car_Mahindra_Xylo,car,Mahindra,Xylo,1,496,228,720,0,0
train_1008_005,train,1008,5,scooter_Honda_Dio,scooter,Honda,Dio,347,418,471,581,0,0
train_101_000,train,101,0,motorcycle_Bajaj_Discover,motorcycle,Bajaj,Discover,771,631,836,723,0,0
train_101_001,train,101,1,car_Hyundai_I20,car,Hyundai,I20,1489,564,1918,841,0,0
train_101_002,train,101,2,scooter_Bajaj_Chetak,scooter,Bajaj,Chetak,84,657,197,783,0,0
train_101_003,train,101,3,truck_Tata,truck,Tata,Tata,1213,506,1378,717,0,0
train_1010_000,train,1010,0,scooter_Honda_Activa,scooter,Honda,Activa,785,460,1070,829,0,0
train_1010_001,train,1010,1,scooter_Honda_Activa,scooter,Honda,Activa,1,460,136,673,0,0
train_1010_002,train,1010,2,scooter_TVS_Jupiter,scooter,TVS,Jupiter,352,416,611,711,0,0
train_1010_003,train,1010,3,motorcycle_Hero_Splendor,motorcycle,Hero,Splendor,310,465,518,694,0,0
train_1010_004,train,1010,4,motorcycle_RoyalEnfield_Classic350,motorcycle,RoyalEnfield,Classic350,371,492,784,753,0,0
train_1011_000,train,1011,0,scooter_Honda_Activa,scooter,Honda,Activa,1113,647,1158,723,0,0
train_1011_001,train,1011,1,scooter_Bajaj_Chetak,scooter,Bajaj,Chetak,1287,680,1376,798,0,0
train_1011_002,train,1011,2,autorickshaw_Others,autorickshaw,Others,Others,816,599,990,818,0,0
train_1012_000,train,1012,0,motorcycle_Bajaj_Pulsar150,motorcycle,Bajaj,Pulsar150,1009,627,1086,735,0,0
train_1012_001,train,1012,1,motorcycle_Hero_Splendor,motorcycle,Hero,Splendor,910,609,1016,687,0,0
train_1012_002,train,1012,2,scooter_Honda_Activa,scooter,Honda,Activa,211,710,400,836,0,0
train_1012_003,train,1012,3,motorcycle_Hero_Glamour,motorcycle,Hero,Glamour,436,675,634,836,0,0
train_1012_004,train,1012,4,scooter_Honda_Activa,scooter,Honda,Activa,1188,592,1342,704,0,0
train_1012_005,train,1012,5,motorcycle_Bajaj_Avenger,motorcycle,Bajaj,Avenger,786,623,853,724,0,0
train_1012_006,train,1012,6,scooter_Honda_Activa,scooter,Honda,Activa,538,630,710,774,0,0
train_1016_000,train,1016,0,car_Others,car,Others,Others,1216,501,1339,563,0,0
train_1016_001,train,1016,1,car_Mahindra_Verito,car,Mahindra,Verito,1113,504,1287,637,0,0
train_1016_002,train,1016,2,car_Others,car,Others,Others,1437,502,1611,542,0,0
train_1016_003,train,1016,3,bus,bus,bus,bus,857,386,1106,641,0,0
train_1016_004,train,1016,4,car_Hyundai_I10,car,Hyundai,I10,1211,494,1665,843,0,0
train_1016_005,train,1016,5,autorickshaw_Others,autorickshaw,Others,Others,547,519,871,913,0,0
train_1016_006,train,1016,6,car_Others,car,Others,Others,1113,507,1139,533,0,0
train_1016_007,train,1016,7,motorcycle_Others,motorcycle,Others,Others,1116,544,1132,572,0,0
train_1016_008,train,1016,8,car_Others,car,Others,Others,856,516,863,555,0,0
train_1016_009,train,1016,9,motorcycle_Hero_Splendor,motorcycle,Hero,Splendor,1128,550,1204,683,0,0
train_1016_010,train,1016,10,autorickshaw_Others,autorickshaw,Others,Others,1527,476,1917,1076,0,0
train_1016_011,train,1016,11,autorickshaw_Others,autorickshaw,Others,Others,1128,487,1153,512,0,0
train_1016_012,train,1016,12,autorickshaw_Others,autorickshaw,Others,Others,1358,491,1427,529,0,0
train_1016_013,train,1016,13,motorcycle_Others,motorcycle,Others,Others,1326,511,1352,531,0,0
train_1017_000,train,1017,0,bus,bus,bus,bus,1277,145,1921,960,0,0
train_1017_001,train,1017,1,truck_Mahindra,truck,Mahindra,Mahindra,587,310,1017,938,0,0
train_1017_002,train,1017,2,motorcycle_Bajaj_Avenger,motorcycle,Bajaj,Avenger,230,615,354,781,0,0
train_1018_000,train,1018,0,car_Honda_City,car,Honda,City,1374,567,1519,659,0,0
train_1019_000,train,1019,0,car_TataMotors_Zest,car,TataMotors,Zest,1027,587,1866,1080,0,0
train_102_000,train,102,0,autorickshaw_Others,autorickshaw,Others,Others,1,556,219,1080,0,0
train_102_001,train,102,1,autorickshaw_Others,autorickshaw,Others,Others,546,545,956,1044,0,0
train_102_002,train,102,2,scooter_Hero_Maestro,scooter,Hero,Maestro,1682,704,1919,1012,0,0
train_102_003,train,102,3,autorickshaw_Others,autorickshaw,Others,Others,300,559,574,924,0,0
train_102_004,train,102,4,motorcycle_Hero_Passion,motorcycle,Hero,Passion,205,679,318,840,0,0
train_102_005,train,102,5,car_MarutiSuzuki_Dzire,car,MarutiSuzuki,Dzire,1195,582,1553,823,0,0
train_102_006,train,102,6,autorickshaw_Bajaj,autorickshaw,Bajaj,Bajaj,1597,571,1748,700,0,0
train_102_007,train,102,7,scooter_Honda_Activa,scooter,Honda,Activa,999,650,1093,814,0,0
train_1020_000,train,1020,0,motorcycle_Yamaha_R15,motorcycle,Yamaha,R15,19,635,210,797,0,0
train_1020_001,train,1020,1,bus,bus,bus,bus,2,405,1163,773,0,0
train_1020_002,train,1020,2,bus,bus,bus,bus,1578,409,1917,762,0,0
train_1020_003,train,1020,3,motorcycle_RoyalEnfield_Classic350,motorcycle,RoyalEnfield,Classic350,1690,656,1917,853,0,0
train_1020_004,train,1020,4,motorcycle_Yamaha_FZ25,motorcycle,Yamaha,FZ25,915,633,1034,827,0,0
train_1020_005,train,1020,5,car_Skoda_Octavia,car,Skoda,Octavia,1012,645,1849,1078,0,0
train_1021_000,train,1021,0,motorcycle_TVS_XL100,motorcycle,TVS,XL100,1248,670,1293,764,0,0
train_1021_001,train,1021,1,bus,bus,bus,bus,973,466,1204,734,0,0
train_1021_002,train,1021,2,truck_Eicher,truck,Eicher,Eicher,1367,113,1917,1003,0,0
train_1021_003,train,1021,3,car_TataMotors_Indica,car,TataMotors,Indica,871,610,1138,833,0,0
train_1021_004,train,1021,4,car_MarutiSuzuki_Alto800,car,MarutiSuzuki,Alto800,1194,609,1263,685,0,0
train_1021_005,train,1021,5,car_Hyundai_I10,car,Hyundai,I10,1283,606,1403,748,0,0
train_1023_000,train,1023,0,motorcycle_Hero_Splendor,motorcycle,Hero,Splendor,928,638,1026,786,0,0
train_1023_001,train,1023,1,motorcycle_Bajaj_Pulsar220F,motorcycle,Bajaj,Pulsar220F,592,660,778,1012,0,0
train_1023_002,train,1023,2,truck_Others,truck,Others,Others,1569,559,1915,780,0,0
train_1023_003,train,1023,3,motorcycle_Hero_Splendor,motorcycle,Hero,Splendor,1447,607,1567,718,0,0
train_1026_000,train,1026,0,car_MarutiSuzuki_Baleno,car,MarutiSuzuki,Baleno,742,618,1224,1079,0,0
train_1026_001,train,1026,1,scooter_Honda_Activa,scooter,Honda,Activa,839,808,1161,1076,0,0
train_1026_002,train,1026,2,car_MarutiSuzuki_Swift,car,MarutiSuzuki,Swift,1198,624,1499,892,0,0
train_1026_003,train,1026,3,car_Toyota_EtiosLiva,car,Toyota,EtiosLiva,1,679,651,1080,0,0
train_1027_000,train,1027,0,car_Nissan_Micra,car,Nissan,Micra,154,620,383,747,0,0
train_1027_001,train,1027,1,bus,bus,bus,bus,973,461,1237,752,0,0
train_1027_002,train,1027,2,car_TataMotors_Indica,car,TataMotors,Indica,540,616,657,696,0,0
train_1028_000,train,1028,0,autorickshaw_Others,autorickshaw,Others,Others,3,539,302,1076,0,0
train_1028_001,train,1028,1,autorickshaw_Others,autorickshaw,Others,Others,236,536,462,714,0,0
train_1028_002,train,1028,2,motorcycle_Hero_PassionPro,motorcycle,Hero,PassionPro,1008,602,1198,710,0,0
train_1028_003,train,1028,3,motorcycle_Yamaha_FZS-FI,motorcycle,Yamaha,FZS-FI,377,632,679,754,0,0
train_1028_004,train,1028,4,motorcycle_Honda_Shine,motorcycle,Honda,Shine,634,613,836,756,0,0
train_1028_005,train,1028,5,scooter_Honda_Activa,scooter,Honda,Activa,1011,601,1220,751,0,0
train_1029_000,train,1029,0,motorcycle_Hero_Splendor,motorcycle,Hero,Splendor,1,673,162,804,0,0
train_1029_001,train,1029,1,motorcycle_Honda_Shine,motorcycle,Honda,Shine,23,655,175,789,0,0
train_1029_002,train,1029,2,autorickshaw_Others,autorickshaw,Others,Others,1493,508,1917,864,0,0
train_1029_003,train,1029,3,autorickshaw_Others,autorickshaw,Others,Others,1329,535,1637,850,0,0
train_1029_004,train,1029,4,autorickshaw_Others,autorickshaw,Others,Others,205,577,400,808,0,0
train_1029_005,train,1029,5,scooter_Hero_Duet,scooter,Hero,Duet,1631,676,1917,881,0,0
train_1029_006,train,1029,6,scooter_Honda_Aviator,scooter,Honda,Aviator,269,784,653,1080,0,0
train_103_000,train,103,0,mini-bus_Others,mini-bus,Others,Others,60,254,368,491,0,0
train_103_001,train,103,1,car_MarutiSuzuki_Alto800,car,MarutiSuzuki,Alto800,1,420,385,720,0,0
train_103_002,train,103,2,car_Honda_Amaze,car,Honda,Amaze,391,346,593,515,0,0
train_1031_000,train,1031,0,truck_AshokLeyland,truck,AshokLeyland,AshokLeyland,1027,93,1607,832,0,0
train_1032_000,train,1032,0,truck_SML,truck,SML,SML,1410,1,1920,1074,0,0
train_1032_001,train,1032,1,truck_Mahindra,truck,Mahindra,Mahindra,1196,555,1352,698,0,0
train_1032_002,train,1032,2,truck_Eicher,truck,Eicher,Eicher,1,109,733,1080,0,0
train_1033_000,train,1033,0,car_MarutiSuzuki_Eeco,car,MarutiSuzuki,Eeco,929,539,1121,751,0,0
train_1034_000,train,1034,0,motorcycle_Honda_Shine,motorcycle,Honda,Shine,442,717,652,1053,0,0
train_1034_001,train,1034,1,car_Others,car,Others,Others,1399,642,1677,800,0,0
train_1036_000,train,1036,0,motorcycle_Hero_Splendor,motorcycle,Hero,Splendor,1190,539,1511,775,0,0
train_1036_001,train,1036,1,car_MarutiSuzuki_Baleno,car,MarutiSuzuki,Baleno,644,492,1256,861,0,0
train_1036_002,train,1036,2,motorcycle_TVS_ApacheRTR160,motorcycle,TVS,ApacheRTR160,1543,493,1631,609,0,0
train_1036_003,train,1036,3,car_Honda_Civic,car,Honda,Civic,437,491,676,669,0,0
train_1037_000,train,1037,0,scooter_Honda_Activa,scooter,Honda,Activa,623,649,723,806,0,0
train_1037_001,train,1037,1,scooter_Bajaj_Chetak,scooter,Bajaj,Chetak,1367,674,1564,885,0,0
train_1037_002,train,1037,2,autorickshaw_Bajaj,autorickshaw,Bajaj,Bajaj,1002,511,1327,893,0,0
train_1037_003,train,1037,3,autorickshaw_Others,autorickshaw,Others,Others,844,548,1030,790,0,0
train_1038_000,train,1038,0,autorickshaw_Bajaj,autorickshaw,Bajaj,Bajaj,935,583,1071,741,0,0
train_1038_001,train,1038,1,autorickshaw_Mahindra,autorickshaw,Mahindra,Mahindra,0,542,584,907,0,0
train_1038_002,train,1038,2,truck_Tata,truck,Tata,Tata,677,554,839,761,0,0
train_1038_003,train,1038,3,motorcycle_Honda_Shine,motorcycle,Honda,Shine,884,655,977,814,0,0
train_1039_000,train,1039,0,truck_Others,truck,Others,Others,942,461,1086,667,0,0
train_1039_001,train,1039,1,scooter_Others,scooter,Others,Others,263,644,436,860,0,0
train_1039_002,train,1039,2,truck_Others,truck,Others,Others,1,191,270,776,0,0
train_1039_003,train,1039,3,autorickshaw_Piaggio,autorickshaw,Piaggio,Piaggio,781,551,884,658,0,0
train_104_000,train,104,0,scooter_Suzuki_Access,scooter,Suzuki,Access,549,355,587,432,0,0
train_104_001,train,104,1,motorcycle_Hero_Glamour,motorcycle,Hero,Glamour,176,385,258,456,0,0
train_104_002,train,104,2,scooter_Honda_Activa,scooter,Honda,Activa,208,378,299,436,0,0
train_104_003,train,104,3,autorickshaw_Others,autorickshaw,Others,Others,1,354,192,720,0,0
train_104_004,train,104,4,car_Hyundai_Creta,car,Hyundai,Creta,896,340,1069,435,0,0
train_104_005,train,104,5,car_MarutiSuzuki_Dzire,car,MarutiSuzuki,Dzire,407,352,528,435,0,0
train_1040_000,train,1040,0,truck_Others,truck,Others,Others,695,374,953,733,0,0
train_1040_001,train,1040,1,truck_Mahindra,truck,Mahindra,Mahindra,1303,419,1848,913,0,0
train_1040_002,train,1040,2,motorcycle_Hero_PassionPlus,motorcycle,Hero,PassionPlus,446,603,547,734,0,0
train_1040_003,train,1040,3,car_TataMotors_Indica,car,TataMotors,Indica,1054,560,1185,671,0,0
train_1041_000,train,1041,0,motorcycle_Honda_Unicorn,motorcycle,Honda,Unicorn,1352,771,1833,1078,0,0
train_1042_000,train,1042,0,truck_Tata,truck,Tata,Tata,1554,426,1920,616,0,0
train_1042_001,train,1042,1,car_Ford_Figo,car,Ford,Figo,1430,602,1912,888,0,0
train_1042_002,train,1042,2,car_TataMotors_Indica,car,TataMotors,Indica,771,561,824,609,0,0
train_1042_003,train,1042,3,car_TataMotors_Indica,car,TataMotors,Indica,606,550,725,607,0,0
train_1042_004,train,1042,4,scooter_Honda_Activa,scooter,Honda,Activa,935,592,977,644,0,0
train_1042_005,train,1042,5,bus,bus,bus,bus,890,516,990,594,0,0
train_1042_006,train,1042,6,scooter_Honda_Activa,scooter,Honda,Activa,1030,628,1114,738,0,0
train_1043_000,train,1043,0,truck_Tata,truck,Tata,Tata,766,504,954,710,0,0
train_1043_001,train,1043,1,car_Toyota_Etios,car,Toyota,Etios,565,619,739,724,0,0
train_1043_002,train,1043,2,car_MarutiSuzuki_Swift,car,MarutiSuzuki,Swift,844,617,1092,839,0,0
train_1043_003,train,1043,3,motorcycle_Honda_Unicorn,motorcycle,Honda,Unicorn,309,695,538,963,0,0
train_1044_000,train,1044,0,scooter_TVS_Jupiter,scooter,TVS,Jupiter,259,691,553,1080,0,0
train_1044_001,train,1044,1,bus,bus,bus,bus,1418,493,1730,649,0,0
train_1044_002,train,1044,2,car_Honda_Amaze,car,Honda,Amaze,1017,588,1509,961,0,0
train_1044_003,train,1044,3,car_Toyota_Etios,car,Toyota,Etios,1,549,262,723,0,0
train_1045_000,train,1045,0,scooter_TVS_Pep,scooter,TVS,Pep,834,406,978,599,0,0
train_1046_000,train,1046,0,car_MarutiSuzuki_Alto800,car,MarutiSuzuki,Alto800,627,599,945,751,0,0
train_1046_001,train,1046,1,scooter_Suzuki_Access,scooter,Suzuki,Access,875,606,1038,758,0,0
train_1046_002,train,1046,2,car_Honda_City,car,Honda,City,252,605,618,734,0,0
train_1046_003,train,1046,3,car_Toyota_Etios,car,Toyota,Etios,1150,553,1520,687,0,0
train_1046_004,train,1046,4,scooter_Suzuki_Access,scooter,Suzuki,Access,1131,605,1348,758,0,0
train_1046_005,train,1046,5,motorcycle_Bajaj_Discover135,motorcycle,Bajaj,Discover135,678,629,877,778,0,0
train_1047_000,train,1047,0,car_Ford_Fiesta,car,Ford,Fiesta,413,652,661,814,0,0
train_1047_001,train,1047,1,scooter_TVS_Jupiter,scooter,TVS,Jupiter,734,676,817,787,0,0
train_1049_000,train,1049,0,car_Hyundai_I20,car,Hyundai,I20,299,573,662,738,0,0
train_1049_001,train,1049,1,scooter_Honda_Activa,scooter,Honda,Activa,817,612,957,717,0,0
train_1049_002,train,1049,2,car_MarutiSuzuki_Alto800,car,MarutiSuzuki,Alto800,1438,604,1645,691,0,0
train_1049_003,train,1049,3,scooter_Honda_Activa,scooter,Honda,Activa,1551,726,1795,1059,0,0
train_1049_004,train,1049,4,scooter_TVS_Pep,scooter,TVS,Pep,1187,621,1333,732,0,0
train_105_000,train,105,0,motorcycle_TVS_StarCityPlus,motorcycle,TVS,StarCityPlus,795,627,927,843,0,0
train_105_001,train,105,1,motorcycle_Yamaha_FZ25,motorcycle,Yamaha,FZ25,991,682,1172,978,0,0
train_105_002,train,105,2,scooter_TVS_Jupiter,scooter,TVS,Jupiter,1198,607,1299,764,0,0
train_105_003,train,105,3,motorcycle_Bajaj_Pulsar150,motorcycle,Bajaj,Pulsar150,565,654,737,945,0,0
train_105_004,train,105,4,bus,bus,bus,bus,1,259,692,829,0,0
train_1052_000,train,1052,0,motorcycle_Hero_Splendor,motorcycle,Hero,Splendor,610,375,678,497,0,0
train_1052_001,train,1052,1,truck_Tata,truck,Tata,Tata,30,283,479,613,0,0
train_1052_002,train,1052,2,scooter_Honda_Activa,scooter,Honda,Activa,714,426,831,590,0,0
train_1052_003,train,1052,3,scooter_Yamaha_Fascino125,scooter,Yamaha,Fascino125,813,380,905,505,0,0
train_1053_000,train,1053,0,car_Toyota_Etios,car,Toyota,Etios,863,497,1050,642,0,0
train_1053_001,train,1053,1,truck_Tata,truck,Tata,Tata,1084,378,1467,706,0,0
train_1053_002,train,1053,2,truck_AshokLeyland,truck,AshokLeyland,AshokLeyland,1321,65,1920,1079,0,0
train_1053_003,train,1053,3,motorcycle_Honda_Shine,motorcycle,Honda,Shine,1252,664,1733,1079,0,0
train_1054_000,train,1054,0,truck_Others,truck,Others,Others,0,361,752,1080,0,0
train_1054_001,train,1054,1,car_MarutiSuzuki_Dzire,car,MarutiSuzuki,Dzire,943,694,998,741,0,0
train_1054_002,train,1054,2,car_MarutiSuzuki_Dzire,car,MarutiSuzuki,Dzire,855,699,915,747,0,0
train_1055_000,train,1055,0,truck_Eicher,truck,Eicher,Eicher,1743,242,1920,987,0,0
train_1055_001,train,1055,1,car_Toyota_Innova,car,Toyota,Innova,1036,571,1205,720,0,0
train_1058_000,train,1058,0,car_MarutiSuzuki_Swift,car,MarutiSuzuki,Swift,1494,494,1673,617,0,0
train_1058_001,train,1058,1,motorcycle_Bajaj_Pulsar150,motorcycle,Bajaj,Pulsar150,794,492,855,587,0,0
train_1058_002,train,1058,2,car_MarutiSuzuki_Alto800,car,MarutiSuzuki,Alto800,1416,500,1643,646,0,0
train_1058_003,train,1058,3,motorcycle_RoyalEnfield_Classic350,motorcycle,RoyalEnfield,Classic350,1000,499,1094,656,0,0
train_1058_004,train,1058,4,motorcycle_TVS_ApacheRTR160,motorcycle,TVS,ApacheRTR160,1692,525,1772,638,0,0
train_1059_000,train,1059,0,scooter_TVS_Jupiter,scooter,TVS,Jupiter,1315,614,1395,714,0,0
train_1059_001,train,1059,1,car_MarutiSuzuki_WagonR,car,MarutiSuzuki,WagonR,994,561,1093,681,0,0
train_106_000,train,106,0,car_MarutiSuzuki_Swift,car,MarutiSuzuki,Swift,1677,591,1876,699,0,0
train_1060_000,train,1060,0,car_TataMotors_Indigo,car,TataMotors,Indigo,0,487,365,727,0,0
train_1060_001,train,1060,1,car_Chevrolet_Spark,car,Chevrolet,Spark,524,531,670,626,0,0
train_1060_002,train,1060,2,motorcycle_Hero_PassionPlus,motorcycle,Hero,PassionPlus,1527,708,1887,1038,0,0
train_1060_003,train,1060,3,motorcycle_Hero_Splendor,motorcycle,Hero,Splendor,830,634,915,781,0,0
train_1060_004,train,1060,4,car_Hyundai_Santro,car,Hyundai,Santro,290,501,563,664,0,0
train_1060_005,train,1060,5,motorcycle_Others,motorcycle,Others,Others,1305,601,1386,718,0,0
train_1061_000,train,1061,0,scooter_Honda_Activa,scooter,Honda,Activa,1089,597,1130,657,0,0
train_1061_001,train,1061,1,scooter_Honda_Activa,scooter,Honda,Activa,1019,587,1055,647,0,0
train_1061_002,train,1061,2,motorcycle_TVS_Excel100,motorcycle,TVS,Excel100,347,580,502,697,0,0
train_1061_003,train,1061,3,motorcycle_Hero_Splendor,motorcycle,Hero,Splendor,1693,579,1895,719,0,0
train_1061_004,train,1061,4,mini-bus_Others,mini-bus,Others,Others,882,537,963,639,0,0
train_1061_005,train,1061,5,scooter_Honda_Activa,scooter,Honda,Activa,433,587,560,687,0,0
train_1061_006,train,1061,6,bus,bus,bus,bus,952,526,1015,601,0,0
train_1062_000,train,1062,0,car_Toyota_Etios,car,Toyota,Etios,1052,512,1865,1031,0,0
train_1062_001,train,1062,1,car_Hyundai_I20,car,Hyundai,I20,320,488,1047,1080,0,0
train_1062_002,train,1062,2,autorickshaw_Others,autorickshaw,Others,Others,986,465,1164,686,0,0
train_1062_003,train,1062,3,autorickshaw_Others,autorickshaw,Others,Others,1,472,226,1080,0,0
train_1062_004,train,1062,4,motorcycle_Others,motorcycle,Others,Others,1807,962,1920,1080,0,0
train_1064_000,train,1064,0,truck_Tata,truck,Tata,Tata,532,244,916,818,0,0
train_1064_001,train,1064,1,car_TataMotors_Indica,car,TataMotors,Indica,1008,464,1064,507,0,0
train_1064_002,train,1064,2,car_MarutiSuzuki_Dzire,car,MarutiSuzuki,Dzire,910,465,979,519,0,0
train_1065_000,train,1065,0,motorcycle_Hero_Passion,motorcycle,Hero,Passion,1557,662,1735,824,0,0
train_1065_001,train,1065,1,scooter_Bajaj_Chetak,scooter,Bajaj,Chetak,1271,659,1399,823,0,0
train_1067_000,train,1067,0,car_Toyota_Etios,car,Toyota,Etios,1715,536,1880,637,0,0
train_1068_000,train,1068,0,motorcycle_Others,motorcycle,Others,Others,1355,617,1443,734,0,0
train_1068_001,train,1068,1,scooter_Honda_Activa,scooter,Honda,Activa,59,652,246,806,0,0
train_1068_002,train,1068,2,autorickshaw_Others,autorickshaw,Others,Others,218,538,812,1080,0,0
train_1068_003,train,1068,3,autorickshaw_Others,autorickshaw,Others,Others,1499,553,1918,1079,0,0
